molecule	gene	start	end	subgene	from	to	orientation
AG-A	cob	30101	39157	HEG-I	31135	32379	1
AG-A	cob	30101	39157	exon	32411	33364	1
AG-A	cob	30101	39157	HEG-II	33916	34095	1
AG-A	cob	30101	39157	HEG-I	34552	35292	1
AG-A	cob	30101	39157	exon	35917	35985	1
AG-A	cob	30101	39157	HEG-I	36001	36150	1
AG-A	cob	30101	39157	HEG-I	36137	36598	1
AG-A	cob	30101	39157	HEG-I	36646	36918	1
AG-A	cob	30101	39157	exon	37331	37651	1
AG-A	cob	30101	39157	HEG-I	38453	38629	1
AG-A	cob	30101	39157	exon	38816	39157	1
AG-E	cob	12305	21390	exon	12305	12508	0
AG-E	cob	12305	21390	HEG-I	13311	14555	0
AG-E	cob	12305	21390	exon	14587	15540	0
AG-E	cob	12305	21390	HEG-II	16100	16279	0
AG-E	cob	12305	21390	HEG-I	16738	17478	0
AG-E	cob	12305	21390	exon	18103	18171	0
AG-E	cob	12305	21390	HEG-I	18187	18336	0
AG-E	cob	12305	21390	HEG-I	18323	18784	0
AG-E	cob	12305	21390	HEG-I	18772	19095	0
AG-E	cob	12305	21390	exon	19517	19837	0
AG-E	cob	12305	21390	HEG-I	20686	20862	0
AG-E	cob	12305	21390	exon	21049	21390	0
AG-K	cob	95403	102389	exon	95403	95744	0
AG-K	cob	95403	102389	HEG-I	95989	96063	0
AG-K	cob	95403	102389	exon	97572	97892	0
AG-K	cob	95403	102389	HEG-I	98803	98949	0
AG-K	cob	95403	102389	HEG-I	98987	118638	0
AG-K	cob	95403	102389	HEG-I	99651	99731	0
AG-K	cob	95403	102389	exon	99726	99827	0
AG-K	cob	95403	102389	HEG-I	100217	100339	0
AG-K	cob	95403	102389	HEG-I	100425	101303	0
AG-K	cob	95403	102389	HEG-I	101364	101804	0
AG-K	cob	95403	102389	HEG-II	101824	102081	0
AG-K	cob	95403	102389	exon	102279	102389	0
CAG-3	cob	103603	116981	exon	103603	103806	1
CAG-3	cob	103603	116981	HEG-I	105078	105155	1
CAG-3	cob	103603	116981	HEG-I	105199	106101	1
CAG-3	cob	103603	116981	HEG-I	106694	107587	1
CAG-3	cob	103603	116981	HEG-I	107655	108305	1
CAG-3	cob	103603	116981	HEG-I	108644	109303	1
CAG-3	cob	103603	116981	exon	109584	109670	1
CAG-3	cob	103603	116981	HEG-I	109584	109670	1
CAG-3	cob	103603	116981	HEG-I	109676	109771	1
CAG-3	cob	103603	116981	HEG-I	109725	110870	1
CAG-3	cob	103603	116981	exon	111739	111948	1
CAG-3	cob	103603	116981	HEG-I	112022	112234	1
CAG-3	cob	103603	116981	HEG-I	112393	112476	1
CAG-3	cob	103603	116981	HEG-I	112527	112658	1
CAG-3	cob	103603	116981	HEG-I	112991	113923	1
CAG-3	cob	103603	116981	exon	115216	115536	1
CAG-3	cob	103603	116981	HEG-I	115916	116596	1
CAG-3	cob	103603	116981	exon	116640	116981	1
CAG-6	cob	209	4630	exon	215	316	1
CAG-6	cob	209	4630	HEG-I	311	391	1
CAG-6	cob	209	4630	HEG-I	390	524	1
CAG-6	cob	209	4630	HEG-I	559	981	1
CAG-6	cob	209	4630	HEG-I	963	1058	1
CAG-6	cob	209	4630	HEG-I	1328	1453	1
CAG-6	cob	209	4630	exon	2114	2464	1
CAG-6	cob	209	4630	HEG-I	3970	4047	1
CAG-6	cob	209	4630	exon	4289	4630	1
R. zeae	cob	52597	65969	exon	52597	52800	1
R. zeae	cob	52597	65969	HEG-I	54072	54149	1
R. zeae	cob	52597	65969	HEG-I	54193	55095	1
R. zeae	cob	52597	65969	HEG-I	55688	56581	1
R. zeae	cob	52597	65969	HEG-I	56649	57299	1
R. zeae	cob	52597	65969	HEG-I	57637	58296	1
R. zeae	cob	52597	65969	exon	58580	58663	1
R. zeae	cob	52597	65969	HEG-I	58669	58764	1
R. zeae	cob	52597	65969	HEG-I	58718	59863	1
R. zeae	cob	52597	65969	exon	60730	60939	1
R. zeae	cob	52597	65969	HEG-I	60983	61225	1
R. zeae	cob	52597	65969	HEG-I	61384	61452	1
R. zeae	cob	52597	65969	HEG-I	61518	61703	1
R. zeae	cob	52597	65969	HEG-I	61981	62913	1
R. zeae	cob	52597	65969	exon	64204	64524	1
R. zeae	cob	52597	65969	HEG-I	64904	65584	1
R. zeae	cob	52597	65969	exon	65628	65969	1
AG-I*	cob	28156	35649	exon	28156	28359	1
AG-I*	cob	28156	35649	HEG-I	29047	29169	1
AG-I*	cob	28156	35649	HEG-I	29324	29701	1
AG-I*	cob	28156	35649	HEG-I	29839	30570	1
AG-I*	cob	28156	35649	HEG-I	30530	30655	1
AG-I*	cob	28156	35649	HEG-I	30691	30876	1
AG-I*	cob	28156	35649	exon	30892	31605	1
AG-I*	cob	28156	35649	HEG-I	31809	32489	1
AG-I*	cob	28156	35649	HEG-I	32891	33841	1
AG-I*	cob	28156	35649	HEG-I	34051	34848	1
AG-I*	cob	28156	35649	exon	35353	35649	1
R. solani AG1-IA*	cob	73865	82204	exon	73865	74206	0
R. solani AG1-IA*	cob	73865	82204	HEG-I	74238	74915	0
R. solani AG1-IA*	cob	73865	82204	exon	75251	75610	0
R. solani AG1-IA*	cob	73865	82204	HEG-I	75724	76377	0
R. solani AG1-IA*	cob	73865	82204	exon	77489	78661	0
R. solani AG1-IA*	cob	73865	82204	exon	78662	78865	0
R. solani AG1-IA*	cob	73865	82204	exon	79580	79702	0
R. solani AG1-IA*	cob	73865	82204	HEG-II	80125	80247	0
R. solani AG1-IA*	cob	73865	82204	HEG-I	80398	81351	0
R. solani AG1-IA*	cob	73865	82204	HEG-I	81920	82204	0
R. solani AG1-IB*	cob	74940	86703	exon	74940	75143	1
R. solani AG1-IB*	cob	74940	86703	HEG-I	76515	77033	1
R. solani AG1-IB*	cob	74940	86703	HEG-I	77663	78334	1
R. solani AG1-IB*	cob	74940	86703	HEG-I	78560	79111	1
R. solani AG1-IB*	cob	74940	86703	HEG-I	79593	80252	1
R. solani AG1-IB*	cob	74940	86703	exon	80533	81513	1
R. solani AG1-IB*	cob	74940	86703	HEG-II	82515	82688	1
R. solani AG1-IB*	cob	74940	86703	HEG-II	82688	82783	1
R. solani AG1-IB*	cob	74940	86703	HEG-II	83341	83487	1
R. solani AG1-IB*	cob	74940	86703	HEG-II	83628	83723	1
R. solani AG1-IB*	cob	74940	86703	exon	84190	84708	1
R. solani AG1-IB*	cob	74940	86703	exon	86362	86703	1
R. solani AG1-IC*	cob	73075	91676				1
