molecule	gene	start	end	orientation
AG-A	rps3	8142	9257	1
AG-A	nad2	9817	12970	1
AG-A	nad3	12973	15990	1
AG-A	cox3	18735	22693	1
AG-A	atp9	28290	28714	1
AG-A	cob	30101	39157	1
AG-A	nad6	41136	41820	1
AG-A	nad4L	43678	43944	1
AG-A	nad5	43944	48367	1
AG-A	cox1	54583	66327	1
AG-A	atp8	67467	67625	1
AG-A	nad1	73073	78158	1
AG-A	atp6	99350	100123	1
AG-A	rns	104366	106012	1
AG-A	cox2	107850	110583	1
AG-A	nad4	115801	117285	1
AG-E	cox3	939	4860	0
AG-E	atp9	10465	10889	0
AG-E	cob	12305	21390	0
AG-E	nad6	23371	24055	0
AG-E	nad4L	25809	26075	0
AG-E	nad5	26075	54803	0
AG-E	rnl	28185	36811	0
AG-E	atp6	39470	40243	0
AG-E	rns	44315	45959	0
AG-E	cox2	47797	50021	0
AG-E	cox1	58867	70637	0
AG-E	atp8	71784	71942	0
AG-E	nad1	77379	82416	0
AG-E	nad3	84384	87401	1
AG-E	nad2	87404	89017	1
AG-E	rps3	89694	90809	1
AG-E	nad4	105058	106542	1
AG-K	nad4	8300	9106	0
AG-K	nad1	16082	19708	0
AG-K	cox2	23996	32708	0
AG-K	rns	35232	36946	0
AG-K	atp6	45513	46286	0
AG-K	atp8	63694	63852	0
AG-K	cox1	65258	81845	0
AG-K	nad5	84514	89984	0
AG-K	nad4L	89984	90250	0
AG-K	nad6	92079	92717	0
AG-K	cob	95403	105821	0
AG-K	atp9	110528	110749	0
AG-K	cox3	114716	120579	0
AG-K	nad3	122770	123162	0
AG-K	nad2	123371	124777	0
AG-K	rps3	125547	126620	0
CAG-3	nad4L	466	732	1
CAG-3	nad5	1264	2013	1
CAG-3	cox1	11874	14579	1
CAG-3	atp8	20161	20319	1
CAG-3	atp6	35835	36608	1
CAG-3	rns	40578	42173	1
CAG-3	cox2	44675	47693	1
CAG-3	nad1	50778	53510	1
CAG-3	nad4	62723	64228	1
CAG-3	rps3	80535	81572	1
CAG-3	nad2	81890	83503	1
CAG-3	nad3	83506	83898	1
CAG-3	cox3	90139	94946	1
CAG-3	atp9	97790	98461	1
CAG-3	cob	103603	116981	1
CAG-3	nad6	121816	122454	1
CAG-6	cob	209	4630	0
CAG-6	nad6	7303	7941	0
CAG-6	nad4L	9767	10033	0
CAG-6	nad5	10033	15502	0
CAG-6	cox1	18171	34742	0
CAG-6	atp8	36145	36303	0
CAG-6	atp6	53701	54474	0
CAG-6	rns	63016	64640	0
CAG-6	cox2	67239	75932	0
CAG-6	nad1	80212	83840	0
CAG-6	nad4	90839	91645	0
CAG-6	rps3	113236	114123	0
CAG-6	nad2	114893	116505	0
CAG-6	nad3	116508	116900	0
CAG-6	cox3	119094	124959	0
CAG-6	atp9	128933	129154	0
R. zeae	nad1	2	2609	0
R. zeae	nad4	11799	13304	0
R. zeae	rps3	29581	30618	0
R. zeae	nad2	30936	32549	0
R. zeae	nad3	32552	32944	0
R. zeae	cox3	39171	43963	0
R. zeae	atp9	46798	47469	0
R. zeae	cob	52597	65969	0
R. zeae	nad6	70796	71434	0
R. zeae	nad4L	73131	73397	0
R. zeae	nad5	73929	74678	0
R. zeae	cox1	84544	87247	0
R. zeae	atp8	92821	92979	0
R. zeae	atp6	108452	109225	0
R. zeae	rns	113190	114783	0
R. zeae	cox2	117283	120301	0
R. solani AG1-IA*	rns	1999	7028	1
R. solani AG1-IA*	atp6	10931	17704	1
R. solani AG1-IA*	rnl	16082	23209	1
R. solani AG1-IA*	atp8	26990	27148	1
R. solani AG1-IA*	cox1	28719	38761	1
R. solani AG1-IA*	nad4L	49688	50626	1
R. solani AG1-IA*	nad5	48360	54778	1
R. solani AG1-IA*	nad6	66639	67895	1
R. solani AG1-IA*	cob	73865	82204	1
R. solani AG1-IA*	atp9	88696	89405	1
R. solani AG1-IA*	cox3	92846	99384	1
R. solani AG1-IA*	nad3	103586	103978	1
R. solani AG1-IA*	nad2	103981	107140	1
R. solani AG1-IA*	rps3	107338	107865	1
R. solani AG1-IA*	nad4	130534	132021	1
R. solani AG1-IA*	nad1	141938	146078	1
R. solani AG1-IA*	cox2	149913	152544	1
R. solani AG1-IB*	nad1	2712	3341	0
R. solani AG1-IB*	nad4	19141	21000	0
R. solani AG1-IB*	rps3	49494	50021	0
R. solani AG1-IB*	nad2	50420	53762	0
R. solani AG1-IB*	nad3	53765	54157	0
R. solani AG1-IB*	cox3	57294	63542	0
R. solani AG1-IB*	atp9	69354	69870	0
R. solani AG1-IB*	cob	74940	86703	0
R. solani AG1-IB*	nad6	91358	91993	0
R. solani AG1-IB*	nad4L	97240	97506	0
R. solani AG1-IB*	nad5	97506	104890	0
R. solani AG1-IB*	cox1	108182	120029	0
R. solani AG1-IB*	atp8	125765	125923	0
R. solani AG1-IB*	rnl	131068	140082	0
R. solani AG1-IB*	atp6	146969	147742	0
R. solani AG1-IB*	rns	156793	158393	0
R. solani AG1-IB*	cox2	160020	164759	0
R. solani AG1-IC*	nad4	18784	20367	0
R. solani AG1-IC*	rps3	43219	44292	0
R. solani AG1-IC*	nad2	45111	46724	0
R. solani AG1-IC*	nad3	46727	47119	0
R. solani AG1-IC*	cox3	53075	56703	0
R. solani AG1-IC*	atp9	70339	70796	0
R. solani AG1-IC*	cob	88225	88644	0
R. solani AG1-IC*	nad6	94759	95397	0
R. solani AG1-IC*	nad4L	98003	98269	0
R. solani AG1-IC*	nad5	98269	104876	0
R. solani AG1-IC*	cox1	108286	126711	0
R. solani AG1-IC*	atp8	128469	128627	0
R. solani AG1-IC*	rnl	134340	147725	0
R. solani AG1-IC*	atp6	151594	152367	0
R. solani AG1-IC*	rns	156543	160032	0
R. solani AG1-IC*	cox2	165871	168713	0
R. solani AG1-IC*	nad1	172327	174509	0
AG-I*	cob	28156	35649	0
